Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,predicted_fraud,fraud_probability
Sep,4,Thursday,Chevrolet,Urban,Wednesday,Sep,4,Female,Married,47,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,2178,1,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.4479490586988214
Mar,3,Sunday,Toyota,Rural,Tuesday,Mar,4,Male,Married,41,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2179,10,400,2,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0,0.33919372924853997
Mar,3,Wednesday,Pontiac,Urban,Wednesday,Mar,3,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2180,4,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0,0.1280461389655455
Feb,4,Monday,Toyota,Urban,Tuesday,Feb,5,Male,Single,19,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,2181,15,400,1,more than 30,more than 30,1,4 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0,0.4947235029633771
Feb,4,Monday,VW,Urban,Wednesday,Mar,1,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,0,2182,15,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.2511195166946141
Feb,4,Sunday,Chevrolet,Urban,Monday,Feb,4,Female,Married,56,Third Party,Sedan - Liability,Sport,30000 to 39000,0,2183,10,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0,0.45399164869786035
Feb,3,Monday,Pontiac,Urban,Tuesday,Mar,2,Male,Divorced,37,Policy Holder,Sedan - Liability,Sport,less than 20000,0,2184,15,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.25390185378626884
Feb,3,Tuesday,Toyota,Urban,Tuesday,Feb,3,Female,Married,51,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,2185,6,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,1 year,2 vehicles,1994,All Perils,1,0.6447511251494578
Mar,3,Sunday,Pontiac,Urban,Monday,Mar,4,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,less than 20000,1,2186,11,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.32875702225125814
May,2,Monday,Pontiac,Urban,Monday,Jun,3,Male,Married,63,Policy Holder,Utility - All Perils,Utility,more than 69000,0,2187,8,400,1,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0,0.5000091026478208
Mar,3,Sunday,Mazda,Urban,Monday,Apr,1,Male,Married,52,Third Party,Sport - Collision,Sport,more than 69000,0,2188,3,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.4425658473665115
Apr,1,Saturday,Mazda,Urban,Friday,Apr,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2189,14,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0,0.21810664287488746
Mar,3,Friday,Pontiac,Urban,Friday,Mar,3,Male,Married,37,Third Party,Sedan - Liability,Sport,30000 to 39000,0,2190,3,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.2667409648143745
Mar,4,Monday,Ford,Urban,Friday,Apr,1,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,2191,2,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.5681362526050162
Mar,2,Tuesday,Mazda,Urban,Wednesday,Mar,2,Male,Married,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2192,5,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0,0.2072609848623982
Mar,2,Wednesday,Honda,Urban,Wednesday,Mar,3,Male,Married,52,Third Party,Sedan - Liability,Sport,more than 69000,0,2193,9,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0,0.35690665342841976
Mar,1,Thursday,Mazda,Urban,Tuesday,Mar,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2194,15,500,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Collision,0,0.3196599864508417
Feb,5,Monday,Honda,Urban,Monday,Feb,5,Male,Married,29,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2195,7,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.2861201890955014
Feb,2,Saturday,Toyota,Urban,Wednesday,Feb,3,Female,Married,68,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2196,10,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0,0.42881427242867154
Feb,5,Tuesday,Pontiac,Urban,Thursday,Mar,1,Male,Married,42,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,2197,2,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0,0.27516905063895714
Mar,4,Wednesday,Chevrolet,Urban,Thursday,Apr,4,Male,Married,77,Policy Holder,Utility - Liability,Utility,more than 69000,0,2198,11,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability,1,0.7301498352028122
Mar,4,Monday,Honda,Urban,Tuesday,Mar,4,Male,Single,24,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2199,15,400,1,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0,0.31652549248176876
Mar,3,Tuesday,Honda,Urban,Wednesday,Mar,3,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2200,1,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.5216189989672512
Feb,3,Thursday,Toyota,Urban,Friday,Feb,3,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,2201,10,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0,0.29866461292857904
Feb,3,Monday,Mazda,Urban,Monday,Feb,3,Male,Married,72,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2202,11,700,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,1 to 2,no change,5 to 8,1994,Liability,1,0.6584754389133903
Mar,4,Monday,Toyota,Urban,Monday,Mar,5,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,2203,16,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0,0.5383947774011066
Jan,5,Sunday,Chevrolet,Rural,Tuesday,Feb,1,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2204,16,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.37034608213548337
Mar,4,Monday,Toyota,Urban,Friday,Apr,2,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,2205,16,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.46307706597111775
Feb,1,Wednesday,Honda,Rural,Friday,Feb,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2206,13,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Collision,0,0.5587827315203823
Feb,1,Thursday,Pontiac,Urban,Monday,Feb,2,Male,Single,65,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,2207,4,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.2984424428815208
Feb,1,Saturday,Chevrolet,Rural,Wednesday,Feb,2,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2208,5,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.34128255870554647
Feb,2,Tuesday,Toyota,Urban,Wednesday,Feb,2,Male,Married,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2209,16,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.27131852983164495
Feb,2,Wednesday,Mazda,Urban,Wednesday,Feb,2,Female,Married,49,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2210,4,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.2949831737338443
Feb,2,Wednesday,Honda,Urban,Thursday,Feb,2,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2211,16,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.12076101130644556
Feb,3,Friday,Pontiac,Rural,Wednesday,Mar,1,Male,Married,69,Third Party,Sedan - All Perils,Sedan,less than 20000,0,2212,2,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.5358847255257836
Feb,3,Friday,Chevrolet,Rural,Wednesday,Feb,4,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2213,8,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0,0.3602166992407865
Mar,1,Saturday,Pontiac,Urban,Wednesday,Mar,2,Male,Married,30,Third Party,Sedan - Liability,Sport,30000 to 39000,0,2214,12,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.2197765483490135
Mar,4,Wednesday,Pontiac,Urban,Tuesday,Apr,1,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2215,2,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,3 to 4,1994,All Perils,0,0.48334935660589495
Jan,3,Tuesday,Pontiac,Urban,Wednesday,Jan,4,Male,Single,43,Third Party,Sedan - Liability,Sport,30000 to 39000,0,2216,16,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0,0.3365777326488887
Jan,5,Tuesday,Pontiac,Urban,Wednesday,Feb,2,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2217,11,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0,0.13070668436721466
Feb,1,Thursday,Ford,Urban,Friday,Feb,1,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2218,5,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.2125261726508707
Feb,1,Monday,Accura,Urban,Friday,Feb,2,Female,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2219,16,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0,0.3829251855245299
Feb,1,Monday,Toyota,Urban,Friday,Feb,2,Male,Married,61,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2220,3,400,3,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0,0.29197308654344933
Mar,4,Monday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,2221,5,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.33449668337234073
Feb,2,Saturday,Honda,Urban,Thursday,Mar,1,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2222,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0,0.07911567957304233
Mar,4,Tuesday,Toyota,Urban,Monday,Jun,4,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,2223,3,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0,0.4238584276618662
Feb,3,Tuesday,Pontiac,Urban,Thursday,Mar,2,Female,Single,30,Third Party,Sedan - All Perils,Sedan,less than 20000,0,2224,7,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0,0.5057453807716091
Feb,3,Saturday,Honda,Urban,Monday,Feb,3,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2225,6,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.0966263417104044
Feb,3,Saturday,Toyota,Urban,Monday,Feb,3,Female,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2226,11,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.2789529985943744
Feb,3,Monday,Pontiac,Urban,Thursday,Mar,1,Female,Married,54,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2227,2,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision,0,0.45626288706166584
Feb,4,Saturday,Pontiac,Urban,Tuesday,Feb,5,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2228,8,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.15981392543070794
Feb,4,Sunday,Accura,Urban,Monday,Mar,3,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2229,7,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.17218720175025548
Feb,5,Tuesday,Toyota,Urban,Wednesday,Mar,1,Female,Single,37,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,2230,13,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1,0.6196461304310708
Mar,4,Tuesday,Toyota,Rural,Thursday,Mar,4,Male,Married,39,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2231,16,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.34167770338392334
Feb,5,Tuesday,Honda,Urban,Monday,Mar,2,Female,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2232,5,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.31872549054484434
Mar,1,Wednesday,Chevrolet,Urban,Thursday,Mar,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,2233,12,700,2,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1994,Collision,0,0.5457493209695614
Feb,3,Monday,Pontiac,Urban,Friday,Mar,1,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2234,1,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0,0.2912199081541882
Feb,3,Saturday,Mazda,Urban,Wednesday,Mar,2,Female,Single,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2235,2,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0,0.3369370564482205
Feb,3,Tuesday,Accura,Urban,Friday,Feb,3,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,2236,11,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0,0.27891980966100416
Jan,5,Tuesday,Honda,Urban,Monday,Feb,1,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2237,13,400,2,more than 30,more than 30,1,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.33213311436476034
Jan,3,Friday,Toyota,Urban,Friday,Mar,4,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2238,15,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.24747816424534053
Mar,4,Thursday,Mazda,Rural,Friday,Apr,1,Female,Married,52,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2239,13,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0,0.574584651151845
Mar,1,Saturday,Honda,Rural,Friday,Apr,1,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2240,14,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0,0.43808719655463024
Mar,4,Tuesday,Toyota,Urban,Tuesday,Aug,1,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,2241,1,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.5507846279918003
Feb,5,Monday,Honda,Urban,Monday,Feb,5,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2242,2,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.5887875669305312
Feb,3,Sunday,Honda,Urban,Monday,Feb,4,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2243,6,400,3,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.4882621036374388
Feb,3,Thursday,Ford,Rural,Thursday,Mar,3,Male,Married,48,Policy Holder,Utility - All Perils,Utility,more than 69000,0,2244,11,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.5705342980012995
Feb,2,Wednesday,Toyota,Urban,Wednesday,Feb,2,Male,Married,41,Third Party,Sedan - Liability,Sport,30000 to 39000,0,2245,12,500,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Liability,0,0.4329073247679621
Feb,1,Sunday,Mazda,Urban,Monday,Feb,2,Male,Single,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2246,10,400,2,more than 30,more than 30,1,7 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Collision,0,0.3798462854568403
Feb,1,Saturday,Toyota,Urban,Tuesday,Feb,3,Female,Single,27,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,2247,6,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.40759240460449164
Feb,1,Wednesday,Honda,Urban,Friday,Feb,1,Female,Single,28,Policy Holder,Sport - Collision,Sport,more than 69000,0,2248,6,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,1,0.679496724674651
Feb,1,Wednesday,Accura,Urban,Tuesday,Feb,2,Male,Married,42,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2249,6,400,1,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.2608019835669133
Mar,2,Thursday,Toyota,Urban,Monday,Mar,3,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2250,6,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0,0.16663565143696313
Mar,1,Tuesday,Toyota,Urban,Tuesday,Mar,1,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2251,16,400,1,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0,0.3088797947482229
Jun,2,Friday,Honda,Urban,Monday,Jun,2,Male,Single,27,Policy Holder,Sport - Collision,Sport,more than 69000,0,2252,7,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0,0.35548221243477673
Apr,4,Friday,Toyota,Urban,Monday,Apr,4,Male,Married,30,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2253,14,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.29471433135638614
Mar,4,Wednesday,Honda,Urban,Friday,Mar,4,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,2254,8,400,2,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1,0.6813904470060663
Dec,1,Friday,Pontiac,Urban,Monday,Dec,1,Female,Single,26,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,2255,8,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.4392720170085983
Apr,1,Wednesday,Toyota,Urban,Wednesday,Apr,4,Female,Single,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2256,14,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,Collision,1,0.6637723828119768
Mar,4,Saturday,Pontiac,Urban,Friday,Apr,1,Male,Married,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2257,5,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0,0.3577655149644413
Feb,4,Friday,Toyota,Urban,Friday,Mar,2,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2258,7,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.1548176444891317
May,2,Wednesday,Mazda,Urban,Thursday,May,2,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2259,16,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.11813831523321039
Apr,3,Wednesday,Honda,Urban,Wednesday,Apr,4,Female,Single,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2260,9,400,1,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.38015203333172665
Jun,2,Monday,Pontiac,Urban,Friday,Jun,3,Male,Married,48,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2261,13,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0,0.245465198383921
Jun,1,Saturday,Honda,Urban,Monday,Jun,1,Male,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2262,2,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.24362016104578765
Jul,2,Saturday,Honda,Urban,Tuesday,Jul,2,Male,Married,41,Policy Holder,Sport - Collision,Sport,more than 69000,0,2263,12,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0,0.269722101924493
Aug,3,Monday,Mazda,Urban,Thursday,Aug,3,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2264,10,700,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0,0.3261250816055844
Aug,2,Thursday,Pontiac,Urban,Monday,Sep,1,Male,Married,42,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2265,16,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0,0.3351183689169307
Aug,1,Friday,Ford,Urban,Friday,Aug,2,Male,Married,26,Policy Holder,Utility - Collision,Utility,more than 69000,0,2266,5,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0,0.5873784505386956
Sep,1,Thursday,Honda,Urban,Tuesday,Sep,2,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2267,3,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0,0.2657429044306381
Aug,5,Tuesday,Pontiac,Urban,Monday,Sep,1,Male,Married,38,Third Party,Sedan - Liability,Sport,20000 to 29000,0,2268,11,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0,0.40458410149606094
Oct,1,Monday,Pontiac,Urban,Monday,Oct,1,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2269,9,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision,0,0.35387789152742166
Nov,2,Wednesday,Toyota,Urban,Thursday,Nov,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2270,12,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.14833923467930055
Nov,2,Wednesday,Pontiac,Urban,Thursday,Nov,2,Female,Married,55,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,2271,15,400,1,more than 30,more than 30,2 to 4,5 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0,0.40588470082944983
Mar,4,Thursday,Toyota,Urban,Friday,Mar,4,Male,Married,73,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,2272,1,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0,0.5683707509893914
Dec,2,Friday,Pontiac,Urban,Monday,Dec,2,Male,Single,34,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2273,7,400,4,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0,0.3890533014704187
Dec,2,Friday,Mazda,Urban,Thursday,Dec,3,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2274,12,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0,0.1751841555429856
